Incident Zip,allcomplaints
00000,24
00083,60
07024,12
07114,156
07310,12
10000,120
10001,14358
10002,19164
10003,17220
10004,1710
10005,2574
10006,1140
10007,3300
10009,16578
10010,7200
10011,14832
10012,11016
10013,10494
10014,10632
10016,14556
10017,5874
10018,6822
10019,17892
10020,294
10021,8916
10022,9468
10023,11958
10024,11904
10025,20130
10026,11490
10027,20850
10028,9036
10029,18558
10030,11964
10031,29916
10032,23952
10033,25446
10034,21780
10035,12162
10036,15708
10037,5394
10038,5676
10039,7554
10040,23046
10041,24
10044,354
10065,6162
10069,402
10075,4020
10103,36
10112,72
10119,48
10128,8916
10129,42
10153,12
10280,552
10281,114
10282,210
10301,11526
10302,5214
10303,6192
10304,9354
10305,9660
10306,12288
10307,2208
10308,5790
10309,6306
10310,6360
10312,11364
10314,18750
10451,14310
10452,26274
10453,33552
10454,8850
10455,11202
10456,27924
10457,25638
10458,30540
10459,14094
10460,19686
10461,15432
10462,21306
10463,19098
10464,2076
10465,11124
10466,20082
10467,35088
10468,30852
10469,16218
10470,6090
10471,5124
10472,24180
10473,11544
10474,6414
10475,2646
10701,12
11001,1038
11003,18
11004,2586
11005,300
11040,330
11101,14922
11102,8904
11103,9804
11104,6282
11105,9588
11106,9834
11109,180
11201,15618
11203,20700
11204,14832
11205,13698
11206,20286
11207,28866
11208,26664
11209,18966
11210,18930
11211,21396
11212,22854
11213,23304
11214,18432
11215,18498
11216,25350
11217,14220
11218,18252
11219,15678
11220,21798
11221,27810
11222,12576
11223,16950
11224,8286
11225,23754
11226,39498
11228,8442
11229,17976
11230,21786
11231,10224
11232,8352
11233,23382
11234,22446
11235,20160
11236,19602
11237,17334
11238,22032
11239,1326
11249,9696
11354,11172
11355,14256
11356,6078
11357,8724
11358,8274
11360,2652
11361,5628
11362,3330
11363,2310
11364,5670
11365,8190
11366,5718
11367,6894
11368,18726
11369,8232
11370,5070
11372,11664
11373,17568
11374,8598
11375,14172
11377,18588
11378,11262
11379,7998
11385,27192
11411,3630
11412,7722
11413,8400
11414,7638
11415,5862
11416,8124
11417,9702
11418,10488
11419,13032
11420,12096
11421,10392
11422,5646
11423,7242
11426,3612
11427,4308
11428,4398
11429,5130
11430,798
11432,13476
11433,10920
11434,12276
11435,11706
11436,4722
11520,12
11580,18
11590,12
11691,13422
11692,3810
11693,2916
11694,6528
11695,18
11697,168
11710,12
11729,12
11747,12
